Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"13"	"SP110"	"30.0"	"ARCHS4 Coexpression,5;Enrichr Queries,3;GTEx Coexpression,82"	"ZBP1,IFITM3,EIF2AK2,IFI44,PARP9,XAF1,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"14"	"ZNF267"	"40.0"	"ARCHS4 Coexpression,21;Enrichr Queries,27;GTEx Coexpression,72"	"IFI44,XAF1,TRIM22,IFI44L,IFIT3"
"gene_set_query"	"15"	"RBCK1"	"41.0"	"ARCHS4 Coexpression,41;GTEx Coexpression,41"	"IFITM3,PARP9"
"gene_set_query"	"16"	"IRF8"	"42.25"	"Literature ChIP-seq,5;ARCHS4 Coexpression,27;Enrichr Queries,43;GTEx Coexpression,94"	"IFITM3,ZBP1,IFI44,XAF1,PARP9,TRIM22,IFIT3,IFI44L"
"gene_set_query"	"17"	"MSC"	"42.67"	"ARCHS4 Coexpression,28;Enrichr Queries,89;GTEx Coexpression,11"	"IFITM3,EIF2AK2,IFI44,IFI44L,IFIT3"
"gene_set_query"	"18"	"STAT4"	"45.0"	"Literature ChIP-seq,4;ARCHS4 Coexpression,31;Enrichr Queries,32;GTEx Coexpression,113"	"ZBP1,IFITM3,IFI44,XAF1,PARP9,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"19"	"SPIB"	"50.25"	"ARCHS4 Coexpression,48;Enrichr Queries,112;ReMap ChIP-seq,33;GTEx Coexpression,8"	"IFITM3,EIF2AK2,IFI44,PARP9,IFI44L,TRIM22,IFIT3"
"gene_set_query"	"20"	"IKZF3"	"57.67"	"ARCHS4 Coexpression,12;Enrichr Queries,139;GTEx Coexpression,22"	"ZBP1,EIF2AK2,XAF1,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"21"	"ETV3L"	"64.0"	"ARCHS4 Coexpression,80;Enrichr Queries,86;GTEx Coexpression,26"	"EIF2AK2,IFI44,IFI44L,IFIT3"
"gene_set_query"	"22"	"IKZF2"	"68.33"	"ARCHS4 Coexpression,14;Enrichr Queries,110;GTEx Coexpression,81"	"IFI44,EIF2AK2,XAF1,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"23"	"ZNF80"	"70.67"	"ARCHS4 Coexpression,92;Enrichr Queries,44;GTEx Coexpression,76"	"ZBP1,XAF1,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"24"	"ZNF235"	"73.33"	"ARCHS4 Coexpression,34;Enrichr Queries,100;GTEx Coexpression,86"	"EIF2AK2,IFI44,XAF1,IFIT3,IFI44L"
"gene_set_query"	"25"	"TBX21"	"75.75"	"ARCHS4 Coexpression,62;Enrichr Queries,115;ReMap ChIP-seq,17;GTEx Coexpression,109"	"ZBP1,IFITM3,IFI44,PARP9,IFIT3"
"gene_set_query"	"26"	"FLI1"	"82.67"	"Literature ChIP-seq,53;ARCHS4 Coexpression,73;ENCODE ChIP-seq,76;Enrichr Queries,142;ReMap ChIP-seq,91;GTEx Coexpression,61"	"IFITM3,PARP9,TRIM22,IFIT3"
"gene_set_query"	"27"	"IRF4"	"91.0"	"ARCHS4 Coexpression,89;ENCODE ChIP-seq,41;Enrichr Queries,232;ReMap ChIP-seq,69;GTEx Coexpression,24"	"ZBP1,EIF2AK2,PARP9,IFI44L,IFIT3"
"gene_set_query"	"28"	"ETS1"	"93.17"	"Literature ChIP-seq,105;ARCHS4 Coexpression,70;ENCODE ChIP-seq,12;Enrichr Queries,179;ReMap ChIP-seq,143;GTEx Coexpression,50"	"IFITM3,EIF2AK2,XAF1,TRIM22,IFIT3"
"gene_set_query"	"29"	"CEBPD"	"102.2"	"Literature ChIP-seq,142;ARCHS4 Coexpression,91;ENCODE ChIP-seq,103;ReMap ChIP-seq,80;GTEx Coexpression,95"	"IFITM3"
"gene_set_query"	"30"	"MTF1"	"103.5"	"ARCHS4 Coexpression,25;GTEx Coexpression,182"	"IFI44,IFIT3"
"gene_set_query"	"31"	"SCML4"	"116.7"	"ARCHS4 Coexpression,20;Enrichr Queries,238;GTEx Coexpression,92"	"ZBP1,IFIT3,TRIM22"
"gene_set_query"	"32"	"NFKB1"	"120.3"	"ARCHS4 Coexpression,32;Enrichr Queries,209;ReMap ChIP-seq,128;GTEx Coexpression,112"	"IFITM3,IFI44,TRIM22,IFIT3"
"gene_set_query"	"33"	"ZSCAN30"	"123.5"	"ARCHS4 Coexpression,64;GTEx Coexpression,183"	"XAF1"
"gene_set_query"	"34"	"DUX4"	"125.0"	"ARCHS4 Coexpression,223;ReMap ChIP-seq,27"	"IFI44"
"gene_set_query"	"35"	"LYL1"	"129.0"	"Literature ChIP-seq,133;ARCHS4 Coexpression,139;Enrichr Queries,228;ReMap ChIP-seq,56;GTEx Coexpression,89"	"ZBP1,IFITM3,XAF1,IFIT3"
"gene_set_query"	"36"	"CSRNP1"	"130.0"	"ARCHS4 Coexpression,131;GTEx Coexpression,129"	"ZBP1"
"gene_set_query"	"37"	"ZBTB32"	"140.3"	"ARCHS4 Coexpression,75;Enrichr Queries,35;GTEx Coexpression,311"	"IFITM3,ZBP1,IFI44,XAF1,IFIT3,IFI44L"
"gene_set_query"	"38"	"BATF"	"143.6"	"ARCHS4 Coexpression,85;ENCODE ChIP-seq,27;Enrichr Queries,36;ReMap ChIP-seq,12;GTEx Coexpression,558"	"IFITM3,ZBP1,IFI44,PARP9,XAF1,IFIT3,TRIM22"
"gene_set_query"	"39"	"IKZF1"	"144.5"	"Literature ChIP-seq,152;ARCHS4 Coexpression,43;ENCODE ChIP-seq,3;Enrichr Queries,502;ReMap ChIP-seq,67;GTEx Coexpression,100"	"ZBP1,IFITM3,PARP9,XAF1,IFIT3,TRIM22"
"gene_set_query"	"40"	"PRDM1"	"148.0"	"ARCHS4 Coexpression,95;ENCODE ChIP-seq,93;Enrichr Queries,80;ReMap ChIP-seq,8;GTEx Coexpression,464"	"IFITM3,IFI44,IFI44L,TRIM22,IFIT3"
"gene_set_query"	"41"	"ZNF878"	"149.0"	"ARCHS4 Coexpression,260;GTEx Coexpression,38"	"EIF2AK2,IFI44L"
"gene_set_query"	"42"	"KLF4"	"149.2"	"Literature ChIP-seq,26;ARCHS4 Coexpression,249;Enrichr Queries,184;ReMap ChIP-seq,78;GTEx Coexpression,209"	"IFITM3,EIF2AK2,IFIT3"
"gene_set_query"	"43"	"TRAFD1"	"149.3"	"ARCHS4 Coexpression,8;Enrichr Queries,13;GTEx Coexpression,427"	"IFITM3,ZBP1,EIF2AK2,IFI44,PARP9,XAF1,IFIT3,IFI44L,TRIM22"
"gene_set_query"	"44"	"ASCL5"	"152.5"	"ARCHS4 Coexpression,93;GTEx Coexpression,212"	"PARP9"
"gene_set_query"	"45"	"ZNF266"	"153.0"	"ARCHS4 Coexpression,18;Enrichr Queries,23;GTEx Coexpression,418"	"IFITM3,ZBP1,IFI44,XAF1,IFI44L,IFIT3"
"gene_set_query"	"46"	"GFI1"	"157.0"	"ARCHS4 Coexpression,231;Enrichr Queries,114;GTEx Coexpression,126"	"ZBP1,IFITM3,IFIT3"
"gene_set_query"	"47"	"STAT3"	"158.7"	"Literature ChIP-seq,16;ARCHS4 Coexpression,677;ENCODE ChIP-seq,5;Enrichr Queries,145;ReMap ChIP-seq,74;GTEx Coexpression,35"	"IFITM3,EIF2AK2,PARP9,IFIT3"
"gene_set_query"	"48"	"RFX5"	"159.0"	"ARCHS4 Coexpression,615;ENCODE ChIP-seq,21;Enrichr Queries,62;ReMap ChIP-seq,90;GTEx Coexpression,7"	"IFITM3,EIF2AK2,PARP9,XAF1,IFI44L,TRIM22,IFIT3"
"gene_set_query"	"49"	"ELF1"	"163.8"	"Literature ChIP-seq,116;ARCHS4 Coexpression,76;ENCODE ChIP-seq,66;ReMap ChIP-seq,131;GTEx Coexpression,430"	"TRIM22"
"gene_set_query"	"50"	"ZFP69"	"164.0"	"ARCHS4 Coexpression,318;GTEx Coexpression,10"	"EIF2AK2,TRIM22"
"gene_set_query"	"51"	"ANHX"	"166.5"	"ARCHS4 Coexpression,172;GTEx Coexpression,161"	""
"gene_set_query"	"52"	"POU2F2"	"174.0"	"ARCHS4 Coexpression,414;ENCODE ChIP-seq,90;Enrichr Queries,233;ReMap ChIP-seq,63;GTEx Coexpression,70"	"IFITM3,TRIM22,IFIT3"
"gene_set_query"	"53"	"STAT6"	"177.8"	"Literature ChIP-seq,12;ARCHS4 Coexpression,178;Enrichr Queries,204;GTEx Coexpression,317"	"IFITM3,ZBP1,IFIT3"
"gene_set_query"	"54"	"RUNX3"	"178.6"	"ARCHS4 Coexpression,668;ENCODE ChIP-seq,39;Enrichr Queries,63;ReMap ChIP-seq,9;GTEx Coexpression,114"	"ZBP1,IFITM3,IFI44,IFIT3,IFI44L"
"gene_set_query"	"55"	"RELB"	"185.0"	"ARCHS4 Coexpression,395;Enrichr Queries,30;ReMap ChIP-seq,187;GTEx Coexpression,128"	"ZBP1,IFITM3,IFI44,PARP9,XAF1,IFIT3"
"gene_set_query"	"56"	"AHR"	"188.6"	"Literature ChIP-seq,131;ARCHS4 Coexpression,502;Enrichr Queries,176;ReMap ChIP-seq,16;GTEx Coexpression,118"	"IFITM3,ZBP1,PARP9,IFIT3"
"gene_set_query"	"57"	"NFE2L2"	"192.2"	"Literature ChIP-seq,33;ARCHS4 Coexpression,322;Enrichr Queries,334;ReMap ChIP-seq,76;GTEx Coexpression,196"	"IFITM3,IFIT3"
"gene_set_query"	"58"	"USF1"	"198.8"	"ARCHS4 Coexpression,215;ENCODE ChIP-seq,31;Enrichr Queries,475;ReMap ChIP-seq,177;GTEx Coexpression,96"	"ZBP1,EIF2AK2,IFIT3"
"gene_set_query"	"59"	"ZNF157"	"201.3"	"ARCHS4 Coexpression,158;Enrichr Queries,220;GTEx Coexpression,226"	"IFI44,IFI44L"
"gene_set_query"	"60"	"SPI1"	"202.8"	"Literature ChIP-seq,40;ARCHS4 Coexpression,495;ENCODE ChIP-seq,64;Enrichr Queries,234;ReMap ChIP-seq,141;GTEx Coexpression,243"	"IFITM3,IFIT3"
"gene_set_query"	"61"	"PROX2"	"207.0"	"ARCHS4 Coexpression,68;Enrichr Queries,486;GTEx Coexpression,67"	"EIF2AK2,XAF1,IFIT3"
"gene_set_query"	"62"	"GATA1"	"211.0"	"Literature ChIP-seq,28;ARCHS4 Coexpression,341;ENCODE ChIP-seq,55;Enrichr Queries,591;ReMap ChIP-seq,150;GTEx Coexpression,101"	"ZBP1,IFITM3"
"gene_set_query"	"63"	"ZNF37A"	"211.7"	"ARCHS4 Coexpression,65;Enrichr Queries,60;GTEx Coexpression,510"	"EIF2AK2,PARP9,XAF1,IFIT3"
"gene_set_query"	"64"	"ZNF248"	"213.0"	"ARCHS4 Coexpression,142;Enrichr Queries,152;GTEx Coexpression,345"	"IFI44,IFIT3"
"gene_set_query"	"65"	"TEAD4"	"214.7"	"Literature ChIP-seq,82;ARCHS4 Coexpression,367;ENCODE ChIP-seq,11;Enrichr Queries,354;ReMap ChIP-seq,202;GTEx Coexpression,272"	"IFITM3,IFIT3"
"gene_set_query"	"66"	"IRF2"	"215.3"	"ARCHS4 Coexpression,30;Enrichr Queries,19;ReMap ChIP-seq,18;GTEx Coexpression,794"	"IFITM3,EIF2AK2,IFI44,PARP9,XAF1,IFIT3,TRIM22"
"gene_set_query"	"67"	"ZNF394"	"215.3"	"ARCHS4 Coexpression,13;Enrichr Queries,518;GTEx Coexpression,115"	"ZBP1,XAF1,IFIT3,TRIM22"
"gene_set_query"	"68"	"KLF1"	"218.2"	"Literature ChIP-seq,111;ARCHS4 Coexpression,489;Enrichr Queries,229;ReMap ChIP-seq,146;GTEx Coexpression,116"	"ZBP1,IFITM3,IFIT3"
"gene_set_query"	"69"	"BHLHE23"	"220.0"	"ARCHS4 Coexpression,338;GTEx Coexpression,102"	"IFI44L"
"gene_set_query"	"70"	"ZBED2"	"220.3"	"ARCHS4 Coexpression,163;Enrichr Queries,46;GTEx Coexpression,452"	"IFI44,XAF1,IFI44L,IFIT3"
"gene_set_query"	"71"	"HES1"	"223.8"	"ARCHS4 Coexpression,102;Enrichr Queries,317;ReMap ChIP-seq,288;GTEx Coexpression,188"	"IFITM3"
"gene_set_query"	"72"	"TET2"	"225.0"	"ARCHS4 Coexpression,55;GTEx Coexpression,395"	"XAF1"
"gene_set_query"	"73"	"KDM5B"	"225.0"	"Literature ChIP-seq,72;ARCHS4 Coexpression,719;ENCODE ChIP-seq,75;ReMap ChIP-seq,129;GTEx Coexpression,130"	""
"gene_set_query"	"74"	"TEAD2"	"226.3"	"ARCHS4 Coexpression,398;Enrichr Queries,366;ReMap ChIP-seq,38;GTEx Coexpression,103"	"IFITM3"
"gene_set_query"	"75"	"NR3C1"	"227.0"	"Literature ChIP-seq,30;ARCHS4 Coexpression,24;ENCODE ChIP-seq,88;Enrichr Queries,1046;ReMap ChIP-seq,118;GTEx Coexpression,56"	"EIF2AK2,IFI44,TRIM22"
"gene_set_query"	"76"	"FOSL2"	"228.8"	"ARCHS4 Coexpression,256;ENCODE ChIP-seq,100;Enrichr Queries,443;ReMap ChIP-seq,142;GTEx Coexpression,203"	"IFITM3"
"gene_set_query"	"77"	"PAX5"	"228.8"	"ARCHS4 Coexpression,544;ENCODE ChIP-seq,61;Enrichr Queries,419;ReMap ChIP-seq,87;GTEx Coexpression,33"	"EIF2AK2,IFI44L,IFIT3"
"gene_set_query"	"78"	"PIN1"	"232.0"	"ARCHS4 Coexpression,227;GTEx Coexpression,237"	""
"gene_set_query"	"79"	"KLF6"	"237.5"	"ARCHS4 Coexpression,90;Enrichr Queries,159;ReMap ChIP-seq,198;GTEx Coexpression,503"	"IFITM3,IFIT3,TRIM22"
"gene_set_query"	"80"	"GCM1"	"241.3"	"ARCHS4 Coexpression,211;Enrichr Queries,255;GTEx Coexpression,258"	"IFIT3"
"gene_set_query"	"81"	"NFE2"	"241.4"	"ARCHS4 Coexpression,346;ENCODE ChIP-seq,72;Enrichr Queries,111;ReMap ChIP-seq,82;GTEx Coexpression,596"	"IFITM3,IFI44,IFIT3"
"gene_set_query"	"82"	"CSRNP2"	"241.5"	"ARCHS4 Coexpression,118;GTEx Coexpression,365"	""
"gene_set_query"	"83"	"EOMES"	"249.0"	"Literature ChIP-seq,32;ARCHS4 Coexpression,682;Enrichr Queries,165;ReMap ChIP-seq,256;GTEx Coexpression,110"	"ZBP1,IFITM3,IFIT3"
"gene_set_query"	"84"	"KLF5"	"249.0"	"Literature ChIP-seq,60;ARCHS4 Coexpression,138;Enrichr Queries,406;ReMap ChIP-seq,149;GTEx Coexpression,492"	"IFITM3,XAF1"
"gene_set_query"	"85"	"CENPS"	"250.0"	"ARCHS4 Coexpression,185;GTEx Coexpression,315"	""
"gene_set_query"	"86"	"HSFY2"	"253.0"	"ARCHS4 Coexpression,143;GTEx Coexpression,363"	""
"gene_set_query"	"87"	"ASCL3"	"253.3"	"ARCHS4 Coexpression,122;Enrichr Queries,413;GTEx Coexpression,225"	"IFI44"
"gene_set_query"	"88"	"GATA3"	"254.8"	"Literature ChIP-seq,27;ARCHS4 Coexpression,412;ENCODE ChIP-seq,33;Enrichr Queries,323;ReMap ChIP-seq,180;GTEx Coexpression,554"	"IFITM3,ZBP1,IFIT3"
"gene_set_query"	"89"	"ZNF318"	"255.5"	"ARCHS4 Coexpression,121;Enrichr Queries,571;ReMap ChIP-seq,279;GTEx Coexpression,51"	"IFI44L"
"gene_set_query"	"90"	"PURA"	"256.0"	"ARCHS4 Coexpression,114;GTEx Coexpression,398"	""
"gene_set_query"	"91"	"MYC"	"256.2"	"Literature ChIP-seq,63;ARCHS4 Coexpression,766;ENCODE ChIP-seq,15;Enrichr Queries,322;ReMap ChIP-seq,94;GTEx Coexpression,277"	"IFITM3,IFI44,PARP9,IFI44L"
"gene_set_query"	"92"	"ZNF846"	"257.0"	"ARCHS4 Coexpression,101;Enrichr Queries,408;GTEx Coexpression,262"	"IFIT3"
"gene_set_query"	"93"	"ZBTB1"	"257.3"	"ARCHS4 Coexpression,59;Enrichr Queries,694;GTEx Coexpression,19"	"EIF2AK2,TRIM22"
"gene_set_query"	"94"	"ZFP30"	"257.3"	"ARCHS4 Coexpression,129;Enrichr Queries,186;GTEx Coexpression,457"	"XAF1,IFIT3"
"gene_set_query"	"95"	"REL"	"257.7"	"ARCHS4 Coexpression,66;Enrichr Queries,508;GTEx Coexpression,199"	"XAF1,IFIT3"
"gene_set_query"	"96"	"ZBTB42"	"259.0"	"ARCHS4 Coexpression,320;GTEx Coexpression,198"	""
"gene_set_query"	"97"	"ZNF45"	"261.7"	"ARCHS4 Coexpression,150;Enrichr Queries,141;GTEx Coexpression,494"	"IFI44,IFIT3"
"gene_set_query"	"98"	"EGR2"	"263.3"	"ARCHS4 Coexpression,560;Enrichr Queries,93;GTEx Coexpression,137"	"IFITM3,IFI44,IFIT3"
"gene_set_query"	"99"	"BHLHA15"	"264.0"	"ARCHS4 Coexpression,147;GTEx Coexpression,381"	""
"gene_set_query"	"100"	"NFKB2"	"265.0"	"ARCHS4 Coexpression,653;Enrichr Queries,173;ReMap ChIP-seq,206;GTEx Coexpression,28"	"IFITM3,PARP9,TRIM22,IFIT3"
"gene_set_query"	"101"	"ETV7"	"265.7"	"ARCHS4 Coexpression,1;Enrichr Queries,1;GTEx Coexpression,795"	"IFITM3,ZBP1,EIF2AK2,IFI44,PARP9,XAF1,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"102"	"CPEB1"	"267.0"	"ARCHS4 Coexpression,315;GTEx Coexpression,219"	""
"gene_set_query"	"103"	"ZNF324B"	"267.0"	"ARCHS4 Coexpression,216;GTEx Coexpression,318"	""
"gene_set_query"	"104"	"STAT5A"	"269.7"	"Literature ChIP-seq,8;ARCHS4 Coexpression,559;ENCODE ChIP-seq,101;Enrichr Queries,196;ReMap ChIP-seq,120;GTEx Coexpression,634"	"IFITM3,ZBP1,EIF2AK2,IFIT3"
"gene_set_query"	"105"	"ZIC2"	"271.0"	"ARCHS4 Coexpression,204;Enrichr Queries,459;GTEx Coexpression,150"	"IFITM3"
"gene_set_query"	"106"	"PCGF2"	"271.5"	"ARCHS4 Coexpression,359;ReMap ChIP-seq,184"	""
"gene_set_query"	"107"	"NFIL3"	"274.7"	"ARCHS4 Coexpression,366;Enrichr Queries,195;GTEx Coexpression,263"	"IFITM3,IFIT3"
"gene_set_query"	"108"	"CREB5"	"278.3"	"ARCHS4 Coexpression,259;Enrichr Queries,286;GTEx Coexpression,290"	"IFIT3"
"gene_set_query"	"109"	"ARID3B"	"280.0"	"ARCHS4 Coexpression,494;GTEx Coexpression,66"	"ZBP1"
"gene_set_query"	"110"	"ARID5A"	"280.0"	"ARCHS4 Coexpression,289;GTEx Coexpression,271"	""
"gene_set_query"	"111"	"BRF2"	"282.7"	"ARCHS4 Coexpression,645;ReMap ChIP-seq,28;GTEx Coexpression,175"	"IFIT3"
"gene_set_query"	"112"	"ZNF217"	"282.8"	"Literature ChIP-seq,106;ARCHS4 Coexpression,518;ENCODE ChIP-seq,94;Enrichr Queries,269;ReMap ChIP-seq,277;GTEx Coexpression,433"	"IFITM3"
"gene_set_query"	"113"	"HESX1"	"286.0"	"ARCHS4 Coexpression,809;Enrichr Queries,10;GTEx Coexpression,39"	"IFITM3,EIF2AK2,IFI44,PARP9,XAF1,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"114"	"BCL6"	"286.2"	"Literature ChIP-seq,88;ARCHS4 Coexpression,619;Enrichr Queries,170;ReMap ChIP-seq,163;GTEx Coexpression,391"	"IFITM3,IFIT3"
"gene_set_query"	"115"	"GLMP"	"287.0"	"ARCHS4 Coexpression,339;GTEx Coexpression,235"	""
"gene_set_query"	"116"	"ZNF205"	"288.0"	"ARCHS4 Coexpression,433;Enrichr Queries,166;GTEx Coexpression,265"	"IFITM3,IFIT3"
"gene_set_query"	"117"	"ZNF407"	"288.3"	"ARCHS4 Coexpression,33;Enrichr Queries,687;GTEx Coexpression,145"	"PARP9"
"gene_set_query"	"118"	"MEF2B"	"295.0"	"ARCHS4 Coexpression,153;Enrichr Queries,830;ReMap ChIP-seq,72;GTEx Coexpression,125"	"ZBP1"
"gene_set_query"	"119"	"ZGPAT"	"295.3"	"ARCHS4 Coexpression,162;Enrichr Queries,585;GTEx Coexpression,139"	""
"gene_set_query"	"120"	"KLF8"	"296.0"	"ARCHS4 Coexpression,54;Enrichr Queries,349;GTEx Coexpression,485"	"XAF1"
"gene_set_query"	"121"	"ZNF562"	"297.3"	"ARCHS4 Coexpression,52;Enrichr Queries,496;GTEx Coexpression,344"	"EIF2AK2,XAF1"
"gene_set_query"	"122"	"ZFAT"	"298.7"	"ARCHS4 Coexpression,83;Enrichr Queries,754;GTEx Coexpression,59"	"XAF1,IFI44L"
"gene_set_query"	"123"	"NFX1"	"299.7"	"ARCHS4 Coexpression,46;Enrichr Queries,578;GTEx Coexpression,275"	"XAF1"
"gene_set_query"	"124"	"ZNF417"	"300.0"	"ARCHS4 Coexpression,230;Enrichr Queries,452;GTEx Coexpression,218"	"IFI44L"
"gene_set_query"	"125"	"MYB"	"301.2"	"Literature ChIP-seq,122;ARCHS4 Coexpression,171;ENCODE ChIP-seq,110;Enrichr Queries,844;ReMap ChIP-seq,19;GTEx Coexpression,541"	"IFITM3,ZBP1"
"gene_set_query"	"126"	"TFE3"	"301.3"	"ARCHS4 Coexpression,278;Enrichr Queries,509;GTEx Coexpression,117"	"IFITM3"
"gene_set_query"	"127"	"ZNF584"	"301.8"	"ARCHS4 Coexpression,408;Enrichr Queries,553;ReMap ChIP-seq,6;GTEx Coexpression,240"	"IFITM3,XAF1"
"gene_set_query"	"128"	"RARG"	"301.8"	"Literature ChIP-seq,10;ARCHS4 Coexpression,594;Enrichr Queries,411;GTEx Coexpression,192"	"IFITM3,ZBP1"
"gene_set_query"	"129"	"JDP2"	"302.3"	"ARCHS4 Coexpression,656;Enrichr Queries,167;GTEx Coexpression,84"	"IFITM3,TRIM22,IFIT3"
"gene_set_query"	"130"	"ELF4"	"304.3"	"ARCHS4 Coexpression,598;Enrichr Queries,193;GTEx Coexpression,122"	"ZBP1,IFITM3,IFIT3"
"gene_set_query"	"131"	"PBX2"	"306.3"	"ARCHS4 Coexpression,416;Enrichr Queries,632;ReMap ChIP-seq,125;GTEx Coexpression,52"	"ZBP1"
"gene_set_query"	"132"	"LTF"	"311.0"	"ARCHS4 Coexpression,568;GTEx Coexpression,54"	"ZBP1"
"gene_set_query"	"133"	"IRF5"	"312.7"	"ARCHS4 Coexpression,582;Enrichr Queries,236;GTEx Coexpression,120"	"IFITM3,TRIM22,IFIT3"
"gene_set_query"	"134"	"CEBPB"	"312.8"	"Literature ChIP-seq,44;ARCHS4 Coexpression,754;ENCODE ChIP-seq,36;Enrichr Queries,137;ReMap ChIP-seq,194;GTEx Coexpression,712"	"IFITM3,EIF2AK2,IFIT3"
"gene_set_query"	"135"	"ARNTL2"	"313.0"	"ARCHS4 Coexpression,84;Enrichr Queries,92;GTEx Coexpression,763"	"IFITM3,IFI44,EIF2AK2,IFIT3"
"gene_set_query"	"136"	"MAFB"	"313.3"	"ARCHS4 Coexpression,663;Enrichr Queries,180;ReMap ChIP-seq,113;GTEx Coexpression,297"	"IFITM3,IFIT3"
"gene_set_query"	"137"	"NKX32"	"313.5"	"ARCHS4 Coexpression,327;GTEx Coexpression,300"	""
"gene_set_query"	"138"	"KLF11"	"313.7"	"ARCHS4 Coexpression,291;Enrichr Queries,321;GTEx Coexpression,329"	"IFIT3"
"gene_set_query"	"139"	"ZNF471"	"317.0"	"ARCHS4 Coexpression,47;Enrichr Queries,383;GTEx Coexpression,521"	"XAF1"
"gene_set_query"	"140"	"TFAP2C"	"317.5"	"Literature ChIP-seq,112;ARCHS4 Coexpression,155;ENCODE ChIP-seq,80;Enrichr Queries,1089;ReMap ChIP-seq,170;GTEx Coexpression,299"	""
"gene_set_query"	"141"	"SP2"	"319.0"	"ARCHS4 Coexpression,483;ENCODE ChIP-seq,62;Enrichr Queries,842;ReMap ChIP-seq,135;GTEx Coexpression,73"	"ZBP1"
"gene_set_query"	"142"	"HOXC9"	"319.3"	"Literature ChIP-seq,84;ARCHS4 Coexpression,239;Enrichr Queries,315;GTEx Coexpression,639"	"IFIT3"
"gene_set_query"	"143"	"RXRA"	"319.5"	"Literature ChIP-seq,48;ARCHS4 Coexpression,219;ENCODE ChIP-seq,109;Enrichr Queries,495;ReMap ChIP-seq,168;GTEx Coexpression,878"	"IFITM3,ZBP1"
"gene_set_query"	"144"	"FOXD4"	"320.0"	"ARCHS4 Coexpression,620;Enrichr Queries,119;GTEx Coexpression,221"	"IFITM3,IFIT3"
