ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1902033	regulation of hematopoietic stem cell proliferation	1/9	10/18670	0.0048112813982274	0.032787991750883	0.0153810945284463	EIF2AK2	1
BP	GO:0035457	cellular response to interferon-alpha	1/9	11/18670	0.00529127595703849	0.0334682332451246	0.0157002009502301	IFIT3	1
BP	GO:0002833	positive regulation of response to biotic stimulus	2/9	249/18670	0.00599571180026831	0.0334682332451246	0.0157002009502301	ZBP1/PARP9	2
BP	GO:0035563	positive regulation of chromatin binding	1/9	13/18670	0.00625064776243867	0.0334682332451246	0.0157002009502301	PARP9	1
BP	GO:0060340	positive regulation of type I interferon-mediated signaling pathway	1/9	13/18670	0.00625064776243867	0.0334682332451246	0.0157002009502301	ZBP1	1
BP	GO:1900225	regulation of NLRP3 inflammasome complex assembly	1/9	13/18670	0.00625064776243867	0.0334682332451246	0.0157002009502301	EIF2AK2	1
BP	GO:2001034	positive regulation of double-strand break repair via nonhomologous end joining	1/9	13/18670	0.00625064776243867	0.0334682332451246	0.0157002009502301	PARP9	1
BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	2/9	261/18670	0.00656897886333704	0.0334682332451246	0.0157002009502301	EIF2AK2/TRIM22	2
BP	GO:0034356	NAD biosynthesis via nicotinamide riboside salvage pathway	1/9	14/18670	0.0067300251634218	0.0334682332451246	0.0157002009502301	PARP9	1
BP	GO:0043558	regulation of translational initiation in response to stress	1/9	14/18670	0.0067300251634218	0.0334682332451246	0.0157002009502301	EIF2AK2	1
BP	GO:0044546	NLRP3 inflammasome complex assembly	1/9	14/18670	0.0067300251634218	0.0334682332451246	0.0157002009502301	EIF2AK2	1
BP	GO:0033689	negative regulation of osteoblast proliferation	1/9	15/18670	0.00720919699948108	0.0349076907343294	0.0163754613284612	EIF2AK2	1
BP	GO:0043555	regulation of translation in response to stress	1/9	18/18670	0.00864547988934716	0.0407889307599969	0.0191343954366118	EIF2AK2	1
BP	GO:0045088	regulation of innate immune response	2/9	305/18670	0.00887705237483595	0.0408344409242454	0.0191557445983302	ZBP1/PARP9	2
BP	GO:0046597	negative regulation of viral entry into host cell	1/9	19/18670	0.0091238302368164	0.0409459698432736	0.0192080636564556	IFITM3	1
BP	GO:0019058	viral life cycle	2/9	328/18670	0.0102097041562017	0.044723963568306	0.0209803490423403	EIF2AK2/IFITM3	2
BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	1/9	22/18670	0.0105576505102676	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0035561	regulation of chromatin binding	1/9	23/18670	0.0110351806017206	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0071425	hematopoietic stem cell proliferation	1/9	23/18670	0.0110351806017206	0.044723963568306	0.0209803490423403	EIF2AK2	1
BP	GO:0060330	regulation of response to interferon-gamma	1/9	25/18670	0.0119896262467367	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0060334	regulation of interferon-gamma-mediated signaling pathway	1/9	25/18670	0.0119896262467367	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0018108	peptidyl-tyrosine phosphorylation	2/9	363/18670	0.0123992610530365	0.044723963568306	0.0209803490423403	EIF2AK2/PARP9	2
BP	GO:0002230	positive regulation of defense response to virus by host	1/9	26/18670	0.0124665419540988	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0032897	negative regulation of viral transcription	1/9	26/18670	0.0124665419540988	0.044723963568306	0.0209803490423403	IFITM3	1
BP	GO:0018212	peptidyl-tyrosine modification	2/9	366/18670	0.0125958609888216	0.044723963568306	0.0209803490423403	EIF2AK2/PARP9	2
BP	GO:0033688	regulation of osteoblast proliferation	1/9	28/18670	0.0134197595228466	0.044723963568306	0.0209803490423403	EIF2AK2	1
BP	GO:0031349	positive regulation of defense response	2/9	384/18670	0.0138045916178139	0.044723963568306	0.0209803490423403	ZBP1/PARP9	2
BP	GO:0009435	NAD biosynthetic process	1/9	29/18670	0.0138960615378824	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0046596	regulation of viral entry into host cell	1/9	30/18670	0.0143721591424188	0.044723963568306	0.0209803490423403	IFITM3	1
BP	GO:0050690	regulation of defense response to virus by virus	1/9	30/18670	0.0143721591424188	0.044723963568306	0.0209803490423403	EIF2AK2	1
BP	GO:0019048	modulation by virus of host process	1/9	31/18670	0.014848052413219	0.044723963568306	0.0209803490423403	EIF2AK2	1
BP	GO:0033687	osteoblast proliferation	1/9	31/18670	0.014848052413219	0.044723963568306	0.0209803490423403	EIF2AK2	1
BP	GO:2000781	positive regulation of double-strand break repair	1/9	31/18670	0.014848052413219	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0002831	regulation of response to biotic stimulus	2/9	400/18670	0.0149205114214071	0.044723963568306	0.0209803490423403	ZBP1/PARP9	2
BP	GO:0019359	nicotinamide nucleotide biosynthetic process	1/9	32/18670	0.0153237414270223	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0019363	pyridine nucleotide biosynthetic process	1/9	32/18670	0.0153237414270223	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0006471	protein ADP-ribosylation	1/9	33/18670	0.0157992262605429	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0019362	pyridine nucleotide metabolic process	1/9	33/18670	0.0157992262605429	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0046496	nicotinamide nucleotide metabolic process	1/9	33/18670	0.0157992262605429	0.044723963568306	0.0209803490423403	PARP9	1
BP	GO:0060338	regulation of type I interferon-mediated signaling pathway	1/9	35/18670	0.0167495836934693	0.0459988567104233	0.0215784110426471	ZBP1	1
BP	GO:0072525	pyridine-containing compound biosynthetic process	1/9	35/18670	0.0167495836934693	0.0459988567104233	0.0215784110426471	PARP9	1
BP	GO:0051090	regulation of DNA-binding transcription factor activity	2/9	432/18670	0.017267352571221	0.0465234151405695	0.0218244853634251	EIF2AK2/TRIM22	2
BP	GO:0050691	regulation of defense response to virus by host	1/9	37/18670	0.0176991253252167	0.0465234151405695	0.0218244853634251	PARP9	1
BP	GO:0052372	modulation by symbiont of entry into host	1/9	37/18670	0.0176991253252167	0.0465234151405695	0.0218244853634251	IFITM3	1
BP	GO:0072524	pyridine-containing compound metabolic process	1/9	39/18670	0.0186478517686117	0.0483268271186557	0.0226704795407882	PARP9	1
BP	GO:0044003	modulation by symbiont of host process	1/9	40/18670	0.0191219094860761	0.0488671020199722	0.0229239265768748	EIF2AK2	1
BP	GO:0001819	positive regulation of cytokine production	2/9	464/18670	0.0197640910330178	0.0498163390421271	0.0233692208321191	EIF2AK2/ZBP1	2
